asset_id,part_category,assigned_split,object_group_id,local_path,provider,source_dataset,dataset_url,source_relative_path,source_original_split,source_title,description_url,author,credit,license_short_name,license_url,source_sha256,sha256,dhash,modifications
dataset_v2_air_filter_001,air_filter,train,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,Wikimedia Commons,Wikimedia Commons search: air_filter,https://commons.wikimedia.org/,File:NewOne - Air filtration paper 002.jpg,unspecified,File:NewOne - Air filtration paper 002.jpg,https://commons.wikimedia.org/wiki/File:NewOne_-_Air_filtration_paper_002.jpg,Newone,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2c9beec4f92b17a61c69d4ffe5b68f7add4aa652eeaf404bebef1cf8b11183b7,0fbc09fa56eef549c24bcc1777fe98f6a9ac4c3e43f14710058dde665a721141,bff5f1d6c7e6e6e7,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_air_filter_002,air_filter,train,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,Wikimedia Commons,Wikimedia Commons search: air_filter,https://commons.wikimedia.org/,File:Tagora SX PRV Engine Air filter removed.jpg,unspecified,File:Tagora SX PRV Engine Air filter removed.jpg,https://commons.wikimedia.org/wiki/File:Tagora_SX_PRV_Engine_Air_filter_removed.jpg,Tagoraman,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,309b78cdbb064eb2cbf88c023fa54458a6fdf5e49cb32c170e324e1110f5ba22,40e61f16110d7830dc3e419a83fa6fa690c507597d7ab6c839ceb94560d238a3,3f9fcbe9c9607030,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_air_filter_003,air_filter,train,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,Wikimedia Commons,Wikimedia Commons search: air_filter,https://commons.wikimedia.org/,File:Baumwoll-Sportluftfilter BMW E39 2.JPG,unspecified,File:Baumwoll-Sportluftfilter BMW E39 2.JPG,https://commons.wikimedia.org/wiki/File:Baumwoll-Sportluftfilter_BMW_E39_2.JPG,Fable1981,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,52712f5e528e17649a6a523ed6f8d04a44357e518f89582c0b3cd3068cd541dc,41256ae3c79b62cd3c1da93d1b0785402b21e325754dc58f47ebd97fd48ba85a,e3e7e7e3e37353c3,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_air_filter_004,air_filter,train,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,Wikimedia Commons,Wikimedia Commons search: air_filter,https://commons.wikimedia.org/,File:2008-04-01 Cold air intake tube with filter.jpg,unspecified,File:2008-04-01 Cold air intake tube with filter.jpg,https://commons.wikimedia.org/wiki/File:2008-04-01_Cold_air_intake_tube_with_filter.jpg,Ildar Sagdejev ( Specious ),Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,73f2e8926b8b690841a954f49ffa2b368f947a00632ffa7adb8620573ae16041,7961b4baca1537a793fa5498068580c3d3a1d721de6eab9cf1836d6427a8886d,82233373b7b3b0c0,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_air_filter_005,air_filter,train,dataset_v2_object_air_filter_005,data/images/dataset_v2/air_filter/dataset_v2_air_filter_005.jpg,Wikimedia Commons,Wikimedia Commons search: air_filter,https://commons.wikimedia.org/,File:Air filter for Toyota 1KR-FE.jpg,unspecified,File:Air filter for Toyota 1KR-FE.jpg,https://commons.wikimedia.org/wiki/File:Air_filter_for_Toyota_1KR-FE.jpg,Ilya Plekhanov,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,91c836cb3134d47f9a78c44b3021bf1103e570462f2e1ead91f99f2821848472,1a8e009e6e0223c4c63ecdb8c80312e60aea9de76512b69b8d0f24bb1b552117,fefef8e000000610,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_alternator_001,alternator,train,dataset_v2_object_alternator_001,data/images/dataset_v2/alternator/dataset_v2_alternator_001.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/ALTERNATOR/033.jpg,train,033.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,002df20271d4f76b27a572689772af86c75a8e34bfec588bfa7595c8dd2e2b40,cb2e1ab6612503f9b6de3b21cbb30f24b30ff3fcd70858143d42e2f6c0f8e739,96cac130f098f8f8,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_alternator_002,alternator,train,dataset_v2_object_alternator_002,data/images/dataset_v2/alternator/dataset_v2_alternator_002.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/ALTERNATOR/052.jpg,train,052.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,00d3348a1c23006af4d01a3316968803c5d367a8cad96f5a301160f0a71f0a00,fc1906048636aaffac23d2173da98fd3297b0957f0dc2e484be41c29dd9804c9,61f1d8c8d49c8d93,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_alternator_003,alternator,train,dataset_v2_object_alternator_003,data/images/dataset_v2/alternator/dataset_v2_alternator_003.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/ALTERNATOR/173.jpg,train,173.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,00d621dd40f29fdc30ba78fd759aa85d72f2ef42cdd1f2030101315712682035,f6d3c579bb0394f920beb3343b230519776f592556dc1c8c59045d8ec979e232,41e0e0f0f070f1b9,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_alternator_004,alternator,train,dataset_v2_object_alternator_004,data/images/dataset_v2/alternator/dataset_v2_alternator_004.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/ALTERNATOR/015.jpg,train,015.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,017a9fdf2337bf779978a5e7008b57024ef7ff13633e0541af2bf6528b3308f1,fa00fb607954cdc930e0f2ec7f456b387cf217dd7712eeb123e500f7964268e4,003b7b336373171f,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_alternator_005,alternator,train,dataset_v2_object_alternator_005,data/images/dataset_v2/alternator/dataset_v2_alternator_005.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/ALTERNATOR/182.jpg,train,182.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,029a26ad6ec8d998f7fc0cef9e79d94baadac2d1c03074ece9a384c8cda4e8f9,598ce7965809a06f71f3f9c3fa6b4b8626c241ef1866ddf642b25eea58cda121,060725390f0f0f04,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
dataset_v2_brake_disc_001,brake_disc,train,dataset_v2_object_brake_disc_001,data/images/dataset_v2/brake_disc/dataset_v2_brake_disc_001.jpg,Kaggle,gpiosenka/car-parts-40-classes,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,car parts/train/BRAKE ROTOR/082.jpg,train,082.jpg,https://www.kaggle.com/datasets/gpiosenka/car-parts-40-classes,Gpiosenka dataset contributor,50 Types of Car Parts dataset on Kaggle,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,0051ef10219e62aaf5018e58fb898343d4ae054ebde269e49d104b3b037f0892,4234f00bbb16bd2e5c285cb8db47eec7209a90764d3d8082eecdeff73072c015,e0cc8a8a9a928cc0,EXIF orientation applied; RGB conversion; center crop and resize to 224x224; JPEG quality 92.
